,text,origins
3,Een onderzoek naar mogelijke verklaringen en effecten van de beleving van de gebruikers van het rijkskantoor R8,1
5,Deze beleving is kort na de verhuizing in 2017 onderzocht door het Center for People and Buildings CfPB een onderzoek waarvan de rapportage in maart 20182 is uitgebracht,1
8,Het doel van dit onderzoek was om nader inzicht te verkrijgen in enerzijds de mogelijk verklarende factoren van de beleving en anderzijds in de eventuele effecten op het terrein van personeelszaken ziekteverzuim personeelsverloop sociaalmedische klachten ed,1
10,Is de huidige kantooromgeving afgestemd op de werkprocessen werkzaamheden organisaties 3,1
11,Is de organisatiecultuur van de organisaties afgestemd op het flexibel werken 4,1
12,Zijn de gebruikers van de verschillende organisaties voorbereid op de transitie naar het nieuwe huisvestingsconcept Effecten Voor de eventuele effecten zijn de volgende vragen onderzocht 5,1
13,Zijn er sinds de verhuizing naar R8 aantoonbare effecten op het ziekteverzuim bij 1 In dit onderzoek worden de drie onderdelen van de Kleine Keten doorgaans als één organisatie beschouwd,1
15,Faciliteert de dienstverlening op adequate wijze de activiteiten van de de organisaties 6,1
16,Zijn er sinds de verhuizing naar R8 aantoonbare effecten op het personeelsverloop bij de organisaties 7,1
18,Voor de verklarende factoren van de beleving is in dit onderzoek naast de documentanalyse gebruik gemaakt van bevindingen uit groepsinterviews met diverse functionarissen vanuit de bewonersorganisaties en met gebruikers zelf,1
19,Daarnaast zijn interviews gehouden met vertegenwoordigers vanuit de project organisatie R8 POR het Rijksvastgoedbedrijf RVB FM Haaglanden FMH en SSC ICT,1
20,Aanvullend op de interviews is daarnaast gebruik gemaakt van waarnemingen van een groep van collega auditors die gedurende één maand op R8 hebben gewerkt en hun ervaringen hebben opgetekend in een logboek,1
21,Voor de mogelijke effecten is voor zover beschikbaar een analyse uitgevoerd op de data op personeelsgebied,1
22,Schematisch kan de hierboven geschetste aanpak als volgt worden weergegeven 14 Leeswijzer Dit rapport bestaat uit drie delen,1
23,Het eerste deel Verklarende factoren bevat de bevindingen en antwoorden op de eerste vier onderzoeksvragen,1
24,Daarbij is daar waar mogelijk aansluiting gezocht bij de uitgangspunten en doelstellingen van de kaders met betrekking tot de Fysieke Werkomgeving Rijk FWR3,1
25,Deze uitgangspunten en doelstellingen zijn in de kaders aan het begin van elke sub paragraaf weergegeven,1
26,Het tweede deel Effecten bevat de bevindingen en antwoorden op de laatste drie onderzoeksvragen,1
27,Dit deel bevat de uitkomsten van de analyse op de personeels cijfers voorzien van toelichtende teksten en aangevuld met bevindingen uit de interviews,1
29,Daarnaast geven gebruikers aan dat de dienstverlening nog niet geheel op het gewenste niveau is,1
30,Hierdoor is nog geen sprake van een goede balans tussen BricksBytesBehaviour een model waar het FWRkantoorconcept mede op gebaseerd is,1
32,De verklaring van de beleving van de gebruikers van R8 is derhalve niet gelegen binnen één maar in een combinatie van factoren in alle drie componenten van het model,1
33,De hierboven geconstateerde mismatch wordt veroorzaakt doordat de kantooromgeving enerzijds volgens gebruikers niet geheel voldoet aan de eisen die het werk van gebruikers daaraan stellen,1
35,Daarnaast zijn de dienstverlening en de daarvoor gehanteerde prijzen en de kille en zakelijke uitstraling van de kantooromgeving alsmede het gemis aan het kunnen uitdrukken van een eigen identiteit van de organisatie eveneens verklarende factoren voor de huidige beleving van gebruikers,1
37,Veel gebruikers blijken niet activiteit gerelateerd te werken en bezetten werkplekken langer dan noodzakelijk is voor de werkzaamheden die ze uitvoeren,1
41,Omgekeerd moet de nieuwe kantooromgeving het adequaat kunnen werken maximaal faciliteren,1
43,Voor de werkgerelateerde incidenten en meldingen integriteitmeldingen beveiligingsincidenten en sociaalmedische klachten geldt dat de beperkte beschikbaarheid en vergelijkbaarheid van data een goede analyse lastig maken,1
44,Uit aanvullende interviews met bedrijfsartsen en bedrijfsmaatschappelijk werk blijkt dat ook hier geen duidelijke effecten zichtbaar zijn,1
45,Wel is door hen aangegeven dat de klachten steeds vaker betrekking hebben op ergonomie en stress en overbelasting,1
46,Bij BZ is daarnaast ook sprake van een toename van het aantal klachten,1
47,Nader onderzoek en monitoring zal uitsluitsel moeten geven in hoeverre hier een relatie is met de huisvesting op R8 maar hoe dan ook zal deze ontwikkeling volgens bedrijfsartsen en maatschappelijk werkers op termijn leiden tot een toename van het ziekteverzuim,1
48,Tenslotte wordt door de geïnterviewden aangegeven dat er sprake is van een toename van zieke medewerkers die door de invoering van flexibel werken zich niet ziekmelden,1
49,Daar waar zij zich in de situatie voor de overgang naar R8 ziek zouden melden doen zij dit nu niet omdat zij door het flexibel werken de mogelijkheid hebben om thuis te kunnen werken,1
50,Dit effect komt niet tot uiting in de ziekteverzuimcijfers en kan statistisch ook niet worden aangetoond vanwege het ontbreken van data hieromtrent,1
52,De Basis Werkplekmix is volgens gebruikers niet toepasbaar op alle werkprocessen binnen hun organisatie,1
53,Zorg voor toekomstige projecten daarom voor een vroegtijdige betrokkenheid van toekomstige gebruikers en de medezeggenschap bijvoorbeeld door middel van het inrichten van bewonerspanels zodat ze constructief kunnen meedenken over de werkplekmix,1
54,Voer daarbij tevens standaard een activiteitenonderzoek uit op basis waarvan de juiste werkplekmix kan worden bepaald en beter is afgestemd op de specifieke werkzaamheden van de gebruikers 2,1
55,De kantooromgeving blijkt op een aantal belangrijke punten onvoldoende afgestemd te zijn op het werk van gebruikers,1
57,De vraag of en zo ja welke gevolgen deze aanbevelingen hebben voor de situatie op R8 is ter beoordeling gelaten aan opdrachtgever van dit onderzoek en alle overige bij R8 betrokken organisaties 8 van 51 3,1
58,Er blijkt een discrepantie te bestaan tussen de beleving van de dienstverlening door gebruikers en de performance op de dienstverlening zoals overeengekomen in het contract,1
59,De exacte oorzaak hiervoor is op basis van ons onderzoek niet te achterhalen,1
60,Daarom bevelen wij aan om een externe SCBtoets5 te laten uitvoeren waarbij met name wordt ingezoomd op die onderdelen van de dienstverlening die door gebruikers negatief worden beleefd 4,1
61,De sturing vanuit de organisaties op het flexibel en activiteit gerelateerd werken blijkt binnen alle organisaties beperkt te zijn,1
62,Geef in de voorbereiding en kaderstelling daarom extra aandacht aan de managementsturing en het maken van heldere afspraken hieromtrent 5,1
63,De effectiviteit van de voorbereiding van gebruikers op de nieuwe kantooromgeving blijkt achteraf gezien onvoldoende te zijn geweest waar het gaat om het bereiken van de benodigde gedragsverandering,1
64,Neem behaviour daarom voortaan mee als centraal onderdeel van nieuwe huisvestingsprojecten en ontwikkel hiervoor rijksbrede kaders en instrumenten,1
65,Zorg daarbij wel dat in concrete projecten de gedragsaspecten in nauwe samenwerking met de betrokken organisaties nader worden ingevuld volgens een tailor made approach en houdt hierbij ook rekening met bestaande organisatie en cultuurkenmerken 6,1
66,Gebruikers zijn onvoldoende voorbereid op de aanzienlijke lagere flexnorm in de nieuwe FWRkantooromgeving,1
68,Er zijn onvoldoende kwantitatieve gegevens beschikbaar om de personele effecten van de nieuwe huisvesting te kunnen meten en monitoren,1
69,Zorg er daarom voor dat de systemen data en informatie bevatten die niet alleen naar organisatie niveau maar ook naar pandniveau zijn te herleiden zodat eventuele personele effecten van de FWRkantooromgeving in de toekomst beter kunnen worden gemonitord 8,1
70,Uit het onderzoek blijkt dat de beleving van gebruikers van de huisvesting nog vrij negatief is,1
71,Gedurende de looptijd van dit onderzoek zijn een groot aantal verbetermaatregelen op R8 doorgevoerd die waarschijnlijk een effect op de beleving van gebruikers hebben,1
73,Gehanteerde onderzoekscriteria geschiktheid werkplekmix 32 geschiktheid werkomgeving 33 mogelijkheden tot samenwerking 34 inspirerende en representatieve uitstraling 35 bereikbaarheid van het kantoorpand 36 Voor de inrichting van de FWRkantooromgeving6 wordt volgens de kaders uitgegaan van de zogenaamde Basis Werkplekmix BWM,1
74,Hierin is de verhouding tussen de diverse soorten werkplekken in een rijkskantoor bepaald zie afbeelding 1,1
75,De werkplekmix is op haar beurt weer gebaseerd op een basisactiviteitenprofiel dat de verhouding tussen verschillende soorten werkzaamheden van rijksambtenaren aangeeft,1
76,Dit profiel gaat uit van de onderstaande verdeling van werkzaamheden,1
77,De gedachte daarbij is dat gebruikers regelmatig wisselen van type werkzaamheden en daarmee ook van type werkplek activiteit gerelateerd werken,1
78,Afbeelding 1 de FWRBasis Werkplekmix7 6 Zie bijlage 1 voor achtergronden van de FWR FWRmix basisactiviteitenprofiel en flexfactor 7 FWRwijzer httpswwwcfpbnlkennispublicatiesfwrwijzerpraktischegidsvoordefysieke werkomgevingrijk FWRuitgangspunt De Fysieke Werkomgeving Rijk is een activiteit gerelateerde werkomgeving,1
79,FWRdoelstelling Medewerkers kunnen efficiënt hun werk doen samenwerken spontaan ontmoeten 11 van 51 3 De kantooromgeving van R8 32 De Basis Werkplekmix is volgens gebruikers niet toepasbaar op alle werkprocessen binnen hun organisatie innoveren en concentreren worden goed gefaciliteerd,1
80,Ze kunnen elkaar snel vinden en verliezen geennauwelijks tijd bij het wisselen van plekken,1
81,Gebruikers geven aan dat niet alle werkprocessen binnen hun organisatieonderdeel voldoen aan dit gebruikersprofiel en daardoor niet goed passen in het nieuwe kantoorconcept van activiteit gerelateerd werken,1
82,Zij geven aan overwegend bureaugebonden werkzaamheden uit te voeren waarbij tevens sprake is van een hoge mate van afhankelijkheid en nabijheid van directe collegas,1
83,Dit geldt bijvoorbeeld voor managementondersteuners en medewerkers in bedrijfsvoerings functies,1
84,Op R8 zijn relatief veel stafdiensten gehuisvest waar veel van dit soort werkzaamheden worden uitgevoerd,1
85,Gebruikers ervaren de FWRkaders ondanks de mogelijkheden om daarvan te kunnen afwijken als een one size fits all benadering die niet altijd even goed past bij hun activiteiten,1
87,Of bij de gebruikers sprake is van een afwijkend activiteitenprofiel dan dat van toepassing is op R8 zou via een zogenaamd activiteitenonderzoek kunnen worden bepaald,1
88,Geconcentreerd werken in de open ruimtes kantoortuinen blijkt voor veel bewoners lastig te zijn,1
89,Zij ervaren hinder als gevolg van omgevingsgeluid en prikkels van vele passanten,1
90,Hierdoor is de druk op de concentratiewerkplekken de 1 2 en 4persoons kamers groter dan waar in de Basis Werkplekmix vanuit is gegaan,1
91,Deze plekken zijn op drukke dagen reeds vroeg bezet en de meeste gebruikers zijn niet genegen deze plekken tussentijds te verlaten uit angst geen vergelijkbare plek meer te kunnen vinden indien ze van plek wisselen handdoekjesgedrag,1
92,Daar komt bij dat een aanzienlijk deel van deze plekken als preferente werkplek is vergeven aan re integrerende medewerkers wat het aantal beschikbare concentratiewerkplekken voor algemeen gebruik nog verder beperkt,1
93,De toewijzing van preferente werkplekken blijkt niet centraal te worden bijgehouden,1
94,Ook wordt niet structureel gemonitord of eenmaal toegewezen plekken na verloop van tijd nog steeds geïndiceerd zijn,1
96,Integendeel veel klachten betreffen juist het feit dat collegas elkaar slecht kunnen vinden en dat medewerkers veel tijd kwijt zijn met en fysiek hinder ondervinden van het wisselen van werkplek,1
97,Dit heeft te maken met de omvang van het pand en de toegenomen loopafstanden die dit met zich mee brengt en met het feit dat men bij elke verplaatsing de laptop en overige bezittingen met zich mee draagt,1
98,Voor dit laatste wordt niet altijd gebruik gemaakt van de lockers omdat deze zich na een verplaatsing binnen het pand vaak niet in de nabijheid van de nieuwe werkplek bevinden waardoor gebruikers de spullen liever met zich meedragen,1
